galname,logd25,PA,INC,vmaxg,session,mask (blockpref),mask (datapref),tdep (blockpref),tdep (datapref),logSFR,logMst,dSFMS,MS?,Type,e_tdep (blockpref),e_tdep (datapref),Mmol (blockpref),e_Mmol (blockpref),Mmol (datapref),e_Mmol (datapref),SFR_block,SFR_33Myr,SFR_12Myr,,,
NGC0001,1.2,110.47,48.84,146,1+36+38+55,Havexpand,Havexpand,1.36E+00,1.36E+00,0.713557831,10.87838409,0.242066715,TRUE,MS,2.56E-01,2.56E-01,5.16E+09,9.69E+08,5.16E+09,9.69E+08,3.79E+00,1.74E+00,2.22E+00,,,
NGC0014,1.18,23.1,55.7,35.2,57,block,Havexpand,1.73E+00,8.79E-01,-1.324099626,8.728855013,-0.054472187,TRUE,MS,1.68E+00,4.95E-01,6.02E+07,5.86E+07,3.06E+07,1.73E+07,3.49E-02,4.35E-02,6.08E-02,,,
NGC0169,1.18,92.5,69.8,278,2,flat,flat,1.80E+00,1.80E+00,0.560569926,11.34107882,-0.285703915,TRUE,MS,5.83E-01,5.83E-01,3.42E+09,1.11E+09,3.42E+09,1.11E+09,1.90E+00,2.02E+00,1.61E+00,,,
NGC0495,1.04,168.8,49.2,100,6+56,Havexpand,Havexpand,6.69E+01,6.69E+01,-1.927767494,10.7022449,-2.256585862,FALSE,RG,2.93E+01,2.93E+01,3.11E+08,1.36E+08,3.11E+08,1.36E+08,4.64E-03,1.44E-01,2.46E-01,,,
NGC0776,1.13,50,18.3,60,4+37+40,Havexpand,Havexpand,9.99E-01,9.99E-01,0.567263567,11.01567134,-0.015430223,TRUE,MS,3.21E-01,3.21E-01,2.92E+09,9.37E+08,2.92E+09,9.37E+08,2.92E+00,1.41E+00,2.08E+00,,,
NGC0932,1.3,40,24.4,90,55+57,Havexpand,Havexpand,2.28E+00,2.28E+00,-0.457713375,11.06271598,-1.078513322,FALSE,RG,1.19E+00,1.19E+00,9.83E+08,5.11E+08,9.83E+08,5.11E+08,4.31E-01,2.78E-01,2.81E-01,,,
NGC1056,1.27,162.5,46.7,124.2,56,Havexpand,Havexpand,1.20E-01,1.20E-01,0.152226461,10.3060942,0.144290162,TRUE,MS,5.78E-02,5.78E-02,1.29E+08,6.20E+07,1.29E+08,6.20E+07,1.07E+00,3.20E-01,3.95E-01,,,
NGC2449,1.16,135.5,73.7,101,2+33,Havexpand,Havexpand,1.58E+00,1.58E+00,0.02078313,10.93857589,-0.49946334,TRUE,MS,5.57E-01,5.57E-01,1.08E+09,3.80E+08,1.08E+09,3.80E+08,6.83E-01,4.57E-01,7.68E-01,,,
NGC2540,1.094,123.3,60.4,153,7+48,Havexpand,Havexpand,6.90E-01,6.90E-01,0.521871543,10.63183229,0.25008739,TRUE,MS,2.35E-01,2.35E-01,1.95E+09,6.63E+08,1.95E+09,6.63E+08,2.82E+00,2.34E+00,3.50E+00,,,
NGC2596,1.14,63.9,74.2,203.2,all5,Havexpand,Havexpand,4.88E-01,0.487878702,0.665142265,10.86531079,0.204240527,TRUE,MS,0.11977641,0.11977641,2.81E+09,6.91E+08,2.81E+09,6.91E+08,5.77E+00,5.54E+00,1.08E+01,,,
NGC2691,1.1,166,47.9,182,5+37+40,Havexpand,Havexpand,4.50E-01,4.50E-01,0.330294958,10.59496136,0.088376255,TRUE,MS,1.81E-01,1.81E-01,6.72E+08,2.71E+08,6.72E+08,2.71E+08,1.49E+00,9.41E-01,1.12E+00,,,
NGC3057,1.16,8,58.3,100,8,block,Havexpand,7.82E-01,1.94E-01,-0.654164967,9.271248765,0.176123533,TRUE,MS,8.84E-01,1.18E-01,1.16E+08,1.31E+08,2.87E+07,1.74E+07,1.48E-01,6.75E-02,1.07E-01,,,
